ID,num_lx,num_rx,DeltaSZ,DeltaSP,dNum,resp,acc,RT,Group,DeltaNB
104,10,11,-1.5,-1.833333333,0.166666667,0,0,1.527993543,4yo,0.137503524
104,25,32,-0.333333333,1,0.333333333,1,1,1.741802711,4yo,0.35614381
104,9,11,-0.666666667,1.333333333,0.333333333,0,0,2.45695831,4yo,0.289506617
104,8,32,0.333333333,0.333333333,2,1,1,5.329728495,4yo,2
104,13,16,-1.333333333,0,0.333333333,1,1,3.374080197,4yo,0.299560282
104,23,29,-1.333333333,0.666666667,0.333333333,0,0,1.520210047,4yo,0.334419039
104,10,9,1.833333333,-0.833333333,0.166666667,1,0,7.572825743,4yo,-0.152003093
104,23,29,0,0,0.333333333,0,0,22.25777974,4yo,0.334419039
104,32,8,-0.333333333,-0.333333333,2,0,1,0.891713792,4yo,-2
104,16,13,0.333333333,1,0.333333333,0,1,0.758862915,4yo,-0.299560282
104,20,16,-0.333333333,0.666666667,0.333333333,0,1,7.420572517,4yo,-0.321928095
104,8,32,0.333333333,-1.666666667,2,1,1,1.002275097,4yo,2
104,10,11,-0.166666667,-1.833333333,0.166666667,0,0,3.79768119,4yo,0.137503524
104,32,23,1.5,-0.166666667,0.5,1,0,3.886656112,4yo,-0.476438044
104,32,8,1.333333333,2,2,0,1,1.287474743,4yo,-2
104,16,11,1.833333333,-0.833333333,0.5,1,0,2.080160471,4yo,-0.540568381
104,16,14,1.166666667,0.833333333,0.166666667,1,0,1.215060052,4yo,-0.192645078
104,32,8,1.666666667,-1.333333333,2,0,1,3.02853603,4yo,-2
104,20,29,1.833333333,0.5,0.5,1,1,1.800882854,4yo,0.5360529
104,11,13,0.166666667,-1.833333333,0.166666667,1,1,6.857339911,4yo,0.2410081
104,10,8,0.333333333,0.333333333,0.333333333,1,0,2.869232846,4yo,-0.321928095
104,32,8,-1,-1.666666667,2,0,1,4.090112971,4yo,-2
104,25,32,-0.666666667,2,0.333333333,1,1,10.10455346,4yo,0.35614381
104,23,16,1.166666667,-1.166666667,0.5,0,1,7.144321084,4yo,-0.523561956
104,20,16,-1.666666667,-2,0.333333333,0,1,1.838897139,4yo,-0.321928095
104,32,8,0,1.333333333,2,0,1,1.033228775,4yo,-2
104,11,10,-0.833333333,-0.166666667,0.166666667,1,0,1.992016865,4yo,-0.137503524
104,18,25,-1.166666667,1.166666667,0.5,1,1,1.728643133,4yo,0.473931188
104,18,25,1.5,-1.833333333,0.5,0,0,0.966116906,4yo,0.473931188
104,8,32,1.333333333,-0.666666667,2,1,1,1.098037708,4yo,2
104,32,8,1.666666667,1.666666667,2,0,1,4.281086588,4yo,-2
104,8,32,-0.666666667,-2,2,0,0,6.716843002,4yo,2
104,29,25,-0.5,0.833333333,0.166666667,0,1,1.856323887,4yo,-0.214124805
104,32,8,1.333333333,0.666666667,2,0,1,0.846272707,4yo,-2
104,10,11,0.166666667,0.5,0.166666667,1,1,4.623872936,4yo,0.137503524
104,16,18,-1.5,1.166666667,0.166666667,1,1,0.740145147,4yo,0.169925001
104,20,25,2,-1.666666667,0.333333333,1,1,3.557410504,4yo,0.321928095
104,13,10,-1.333333333,2,0.333333333,1,0,4.179432135,4yo,-0.378511623
104,11,10,-1.5,0.166666667,0.166666667,0,1,4.18067056,4yo,-0.137503524
104,14,20,-1.833333333,-0.166666667,0.5,0,0,7.153000997,4yo,0.514573173
104,11,13,-0.166666667,1.833333333,0.166666667,0,0,3.071969499,4yo,0.2410081
104,8,32,0.333333333,-1.333333333,2,0,0,2.439636709,4yo,2
104,16,20,2,-0.333333333,0.333333333,0,0,1.341992452,4yo,0.321928095
104,23,16,-0.5,0.166666667,0.5,0,1,6.667558178,4yo,-0.523561956
104,8,32,-2,-2,2,1,1,1.969320445,4yo,2
104,16,13,-1,-1.333333333,0.333333333,0,1,7.824079283,4yo,-0.299560282
104,8,32,-0.666666667,0,2,1,1,12.71452601,4yo,2
104,8,9,-0.833333333,-1.5,0.166666667,0,0,6.018480301,4yo,0.169925001
104,32,23,-0.5,1.166666667,0.5,0,1,3.220822343,4yo,-0.476438044
104,8,32,0,-1.666666667,2,1,1,14.35840315,4yo,2
104,25,20,-1,2,0.333333333,0,1,2.310372181,4yo,-0.321928095
104,32,8,-0.666666667,-1,2,0,1,1.899519918,4yo,-2
104,11,9,1,-1.333333333,0.333333333,1,0,2.163232038,4yo,-0.289506617
104,11,8,0.5,-1.833333333,0.5,0,1,7.623327837,4yo,-0.459431619
104,32,25,0.666666667,1.666666667,0.333333333,0,1,1.461176135,4yo,-0.35614381
104,23,20,-1.166666667,0.5,0.166666667,0,1,1.695903982,4yo,-0.201633861
104,13,10,-1.666666667,0.333333333,0.333333333,0,1,1.492195728,4yo,-0.378511623
104,13,10,2,0.666666667,0.333333333,1,0,5.406475508,4yo,-0.378511623
104,16,23,-0.5,-0.166666667,0.5,1,1,1.480935671,4yo,0.523561956
104,10,11,-0.166666667,-0.833333333,0.166666667,1,1,2.123650351,4yo,0.137503524
